size,p_ar,ar_steps,bd_steps,ar_lr,bd_lr,ar_warmup_iters,bd_warmup_iters,final_train_ce,final_val_ce,runtime_s,status,run_dir,stderr_tail
1M,0.0,0,1200,0.01,0.01,0,50,1.7959381341934204,1.9441717863082886,38.53689908981323,ok,curriculum/p0.0_1M,
1M,0.1,120,1080,0.01,0.01,24,50,1.6926907300949097,1.8750873804092407,65.221515417099,ok,curriculum/p0.1_1M,
1M,0.3,360,840,0.01,0.01,72,50,1.6437017917633057,1.8317071199417114,37.95857572555542,ok,curriculum/p0.3_1M,
1M,0.5,600,600,0.01,0.01,120,50,1.658943772315979,1.8486827611923218,34.0904757976532,ok,curriculum/p0.5_1M,
1M,0.7,840,360,0.01,0.01,168,50,1.7169830799102783,1.8908424377441406,29.06682252883911,ok,curriculum/p0.7_1M,
3M,0.0,0,1200,0.003,0.003,0,50,1.5328136682510376,1.7502124309539795,60.05529165267944,ok,curriculum/p0.0_3M,
3M,0.1,120,1080,0.003,0.003,24,50,1.5394691228866577,1.741830587387085,76.49943542480469,ok,curriculum/p0.1_3M,
3M,0.3,360,840,0.003,0.003,72,50,1.531397819519043,1.7408506870269775,53.24022126197815,ok,curriculum/p0.3_3M,
3M,0.5,600,600,0.003,0.003,120,50,1.559432864189148,1.7587300539016724,44.31519103050232,ok,curriculum/p0.5_3M,
3M,0.7,840,360,0.003,0.003,168,50,1.5966928005218506,1.7994940280914307,35.427654504776,ok,curriculum/p0.7_3M,
