budget_label,budget,model,size,block_len,N_params,steps,tokens,flops,lr,dropout,final_train_ce,final_val_ce,runtime_s,status
C3,600000000000000.0,block_edit_one_pass,0.3M,4,345000.0,4422,144900096,599886397440000.0,0.01,0.1,1.7022556066513062,1.9075400829315186,403.43867444992065,ok
C3,600000000000000.0,block_edit_one_pass,0.5M,4,535000.0,2852,93454336,599976837120000.0,0.01,0.1,1.6865543127059937,1.8831062316894531,598.2506227493286,ok
C3,600000000000000.0,block_edit_one_pass,1M,4,1002000.0,1522,49872896,599671701504000.0,0.003,0.1,1.6835882663726807,1.8707456588745117,252.51533937454224,ok
C3,600000000000000.0,block_edit_one_pass,2M,4,1949000.0,782,25624576,599307583488000.0,0.003,0.1,1.804834008216858,1.9576278924942017,359.5435814857483,ok
C3,600000000000000.0,block_edit_one_pass,3M,4,3182000.0,479,15695872,599331176448000.0,0.003,0.1,1.9599932432174683,2.0888936519622803,190.22919034957886,ok
C3,600000000000000.0,block_edit_two_pass,0.1M,4,107000.0,7130,233635840,599976837120000.0,0.01,0.1,1.979472041130066,2.1274590492248535,280.9046823978424,ok
C3,600000000000000.0,block_edit_two_pass,0.3M,4,345000.0,2211,72450048,599886397440000.0,0.01,0.1,1.7900054454803467,1.946956753730774,140.3784532546997,ok
C3,600000000000000.0,block_edit_two_pass,0.5M,4,535000.0,1426,46727168,599976837120000.0,0.01,0.1,1.8299130201339722,1.9850703477859497,333.3044126033783,ok
C3,600000000000000.0,block_edit_two_pass,1M,4,1002000.0,761,24936448,599671701504000.0,0.003,0.1,1.8783385753631592,2.017249822616577,127.10798144340515,ok
C3,600000000000000.0,block_edit_two_pass,2M,4,1949000.0,391,12812288,599307583488000.0,0.003,0.1,2.1557729244232178,2.216559648513794,204.59507536888123,ok
C3,600000000000000.0,block_edit_two_pass,3M,4,3182000.0,239,7831552,598079963136000.0,0.003,0.1,2.2890820503234863,2.3129355907440186,97.20948457717896,ok
C3,600000000000000.0,block_mdlm,0.3M,4,345000.0,4422,144900096,599886397440000.0,0.01,0.1,1.6705224514007568,1.8444956541061401,325.7131326198578,ok
C3,600000000000000.0,block_mdlm,0.5M,4,535000.0,2852,93454336,599976837120000.0,0.01,0.1,1.6584713459014893,1.8485932350158691,681.3295464515686,ok
C3,600000000000000.0,block_mdlm,1M,4,1002000.0,1522,49872896,599671701504000.0,0.01,0.1,1.6746772527694702,1.8569836616516113,248.98493003845215,ok
C3,600000000000000.0,block_mdlm,2M,4,1949000.0,782,25624576,599307583488000.0,0.003,0.1,1.6999702453613281,1.863828420639038,465.07700419425964,ok
C3,600000000000000.0,block_mdlm,3M,4,3182000.0,479,15695872,599331176448000.0,0.003,0.1,1.7816436290740967,1.9342427253723145,182.4194836616516,ok
C3,600000000000000.0,block_remasked,0.3M,4,345000.0,4422,144900096,599886397440000.0,0.01,0.1,1.6663880348205566,1.852541208267212,327.85672187805176,ok
C3,600000000000000.0,block_remasked,0.5M,4,535000.0,2852,93454336,599976837120000.0,0.01,0.1,1.6584713459014893,1.8485932350158691,707.7863826751709,ok
C3,600000000000000.0,block_remasked,1M,4,1002000.0,1522,49872896,599671701504000.0,0.01,0.1,1.6562401056289673,1.844910740852356,251.99024510383606,ok
C3,600000000000000.0,block_remasked,2M,4,1949000.0,782,25624576,599307583488000.0,0.003,0.1,1.6999702453613281,1.863828420639038,488.78661489486694,ok
C3,600000000000000.0,block_remasked,3M,4,3182000.0,479,15695872,599331176448000.0,0.003,0.1,1.7842800617218018,1.9353219270706177,191.07440543174744,ok
