budget,loss_min,n_opt,p_ar,size
100000000000000.0,5.707471534609795,287424,0.0,0.29M
300000000000000.0,5.447025746107101,287424,0.0,0.29M
1000000000000000.0,5.026593789458275,965920,0.0,1M
3000000000000000.0,4.734408110380173,965920,0.0,1M
1e+16,4.460290938615799,1985536,0.0,2M
100000000000000.0,5.608137771487236,287424,0.1,0.29M
300000000000000.0,5.283082216978073,504288,0.1,0.5M
1000000000000000.0,4.965997532010078,965920,0.1,1M
3000000000000000.0,4.760089501738548,965920,0.1,1M
1e+16,4.465346798300743,3920256,0.1,4M
100000000000000.0,5.586442023515701,287424,0.2,0.29M
300000000000000.0,5.272565573453903,504288,0.2,0.5M
1000000000000000.0,4.949675038456917,965920,0.2,1M
3000000000000000.0,4.738925486803055,965920,0.2,1M
1e+16,4.445164851844311,3920256,0.2,4M
100000000000000.0,5.582316771149635,504288,0.3,0.5M
300000000000000.0,5.273543402552605,504288,0.3,0.5M
1000000000000000.0,4.941303178668022,965920,0.3,1M
3000000000000000.0,4.739063546061516,965920,0.3,1M
1e+16,4.431205049157143,3920256,0.3,4M
100000000000000.0,5.551810264587402,504288,0.4,0.5M
300000000000000.0,5.289076030254364,504288,0.4,0.5M
1000000000000000.0,4.956713482737541,965920,0.4,1M
3000000000000000.0,4.746215730905533,1985536,0.4,2M
1e+16,4.416417375206947,3920256,0.4,4M
100000000000000.0,5.540785625576973,504288,0.5,0.5M
300000000000000.0,5.279514253139496,504288,0.5,0.5M
1000000000000000.0,4.958168834447861,965920,0.5,1M
3000000000000000.0,4.740813329815865,1985536,0.5,2M
1e+16,4.418384313583374,3920256,0.5,4M
100000000000000.0,5.54223196208477,504288,0.6,0.5M
300000000000000.0,5.296982645988464,504288,0.6,0.5M
1000000000000000.0,4.9691789001226425,965920,0.6,1M
3000000000000000.0,4.7329540103673935,1985536,0.6,2M
1e+16,4.418784461915493,7979296,0.6,8M
