budget,d_opt,effective_n_opt,fit_kind,loss_min,n_opt,n_points,p_ar,x_max,x_min
100000000000000.0,50840020.41297571,163912.8636385529,interior_l1_quadratic,5.857603237327552,213590.71797099186,5,0.0,6.297877765718518,5.139324850082506
300000000000000.0,63038268.32068544,396584.49805158237,interior_l1_quadratic,5.558079504667269,428041.48225819,7,0.0,6.901964575961948,5.139324850082506
1000000000000000.0,128801067.01051491,646992.5697628752,interior_l1_quadratic,5.2405758594327025,647548.8583740606,6,0.0,6.901964575961948,5.458523029046602
3000000000000000.0,221016595.97209376,1131136.7768579957,interior_l1_quadratic,4.730510742560739,1099877.921721069,4,0.0,6.901964575961948,5.984941158509398
1e+16,270000967.31229067,3086408.6956009925,interior_l1_quadratic,4.444794419264717,2560700.3585699624,3,0.0,6.901964575961948,6.297877765718518
100000000000000.0,36843833.097653955,226179.8687244613,interior_l1_quadratic,5.607610469608915,297220.919503418,5,0.1,6.297877765718518,5.139324850082506
300000000000000.0,47148472.42536916,530239.8723431019,interior_l1_quadratic,5.3804403401981915,553067.13374165,7,0.1,6.901964575961948,5.139324850082506
1000000000000000.0,101045504.27842717,824710.945117473,interior_l1_quadratic,5.076406499969188,860921.3389966825,6,0.1,6.901964575961948,5.458523029046602
3000000000000000.0,203388607.98480338,1229174.0549140258,interior_l1_quadratic,4.74760711541613,1221343.3787285537,4,0.1,6.901964575961948,5.984941158509398
1e+16,234364162.0567553,3555719.978771871,interior_l1_quadratic,4.455404520911522,3049924.539654579,3,0.1,6.901964575961948,6.297877765718518
100000000000000.0,35025160.93467384,237924.19823212255,interior_l1_quadratic,5.556281133280535,314645.6925990653,5,0.2,6.297877765718518,5.139324850082506
300000000000000.0,48038629.762695074,520414.5106448066,interior_l1_quadratic,5.331735488418424,566747.1371904662,7,0.2,6.901964575961948,5.139324850082506
1000000000000000.0,98712544.75515972,844202.056993141,interior_l1_quadratic,5.0008807704027305,921180.590214231,6,0.2,6.901964575961948,5.458523029046602
3000000000000000.0,204003055.54483086,1225471.8407639784,interior_l1_quadratic,4.725192804938018,1266945.0909095376,4,0.2,6.901964575961948,5.984941158509398
1e+16,218122080.18440974,3820490.4915118986,interior_l1_quadratic,4.442609403188172,3424154.33493084,3,0.2,6.901964575961948,6.297877765718518
100000000000000.0,32136334.189025186,259311.88306409985,interior_l1_quadratic,5.517131983217041,342693.671268018,5,0.3,6.297877765718518,5.139324850082506
300000000000000.0,49506004.603266776,504989.2472710333,interior_l1_quadratic,5.335030887310296,575337.064151703,7,0.3,6.901964575961948,5.139324850082506
1000000000000000.0,97278108.13909,856650.431710512,interior_l1_quadratic,4.972731732760245,977159.641492579,6,0.3,6.901964575961948,5.458523029046602
3000000000000000.0,202233161.96230102,1236196.8609609306,interior_l1_quadratic,4.7223724391551585,1330969.5807490745,4,0.3,6.901964575961948,5.984941158509398
1e+16,208197037.99393907,4002618.58363995,interior_l1_quadratic,4.4310351361339215,3772810.054240861,3,0.3,6.901964575961948,6.297877765718518
100000000000000.0,33501001.732381012,248748.78070522277,interior_l1_quadratic,5.477851944940127,341246.68384557345,5,0.4,6.297877765718518,5.139324850082506
300000000000000.0,49475850.32072212,505297.0254768754,interior_l1_quadratic,5.319177890791913,603777.0419185924,7,0.4,6.901964575961948,5.139324850082506
1000000000000000.0,98902110.68044367,842583.9727787647,interior_l1_quadratic,4.956298032877839,1004348.8475047183,6,0.4,6.901964575961948,5.458523029046602
3000000000000000.0,198821556.20946723,1257408.9287210589,interior_l1_quadratic,4.728370022169759,1413015.5691850828,4,0.4,6.901964575961948,5.984941158509398
1e+16,197920585.5900777,4210442.945330041,interior_l1_quadratic,4.4157665649420395,4234334.383809197,3,0.4,6.901964575961948,6.297877765718518
100000000000000.0,33313995.575010512,250145.1173747628,interior_l1_quadratic,5.479398006328722,352407.0117006138,5,0.5,6.297877765718518,5.139324850082506
300000000000000.0,50619833.89505414,493877.5589787672,interior_l1_quadratic,5.32064968540206,620392.8308771012,7,0.5,6.901964575961948,5.139324850082506
1000000000000000.0,101538336.55773182,820708.0808927016,interior_l1_quadratic,4.9608308048118985,1026618.8482366155,6,0.5,6.901964575961948,5.458523029046602
3000000000000000.0,197573766.1176994,1265350.1773665084,interior_l1_quadratic,4.729165845987666,1492610.0682351755,4,0.5,6.901964575961948,5.984941158509398
1e+16,191521417.65947908,4351123.459283191,interior_l1_quadratic,4.415684318311911,4713361.808987649,3,0.5,6.901964575961948,6.297877765718518
100000000000000.0,33904426.27349836,245788.94997692807,interior_l1_quadratic,5.488513683482481,358484.99695712986,5,0.6,6.297877765718518,5.139324850082506
300000000000000.0,51917554.771822795,481532.693707837,interior_l1_quadratic,5.3107854741594025,637673.185329338,7,0.6,6.901964575961948,5.139324850082506
1000000000000000.0,107199386.80251536,777367.6307202345,interior_l1_quadratic,4.9798366464751425,1027193.9184300058,6,0.6,6.901964575961948,5.458523029046602
3000000000000000.0,196495828.81532636,1272291.638490498,interior_l1_quadratic,4.7262012259373805,1583109.2450819295,4,0.6,6.901964575961948,5.984941158509398
1e+16,140975826.16580272,5911178.93044474,interior_l1_quadratic,4.418104643269144,7047080.0237037,3,0.6,6.901964575961948,6.297877765718518
