ar_seconds_per_step,bd_seconds_per_step,budget,measured_bd_over_ar,n_params,size,theoretical_bd_over_ar
0.02028872383885424,0.027267610667823405,100000000000000.0,1.3439786003496257,137824,0.14M,1.3620886535866292
0.020358867819032404,0.022564198423204118,100000000000000.0,1.108322850945084,287424,0.29M,1.3855614438556145
0.027512575049215764,0.03381243615354293,100000000000000.0,1.2289811510939155,504288,0.5M,1.673415703467517
0.029175612669852045,0.04284259381138994,100000000000000.0,1.4684385310496104,965920,1M,1.7097002763409623
0.02140812926046865,0.07259491068444604,100000000000000.0,3.3909974010899093,1985536,2M,1.9518711555618162
0.02144071546180945,0.021574403791929243,300000000000000.0,1.00623525508549,137824,0.14M,1.3620886535866292
0.020934211483540712,0.022181643371748314,300000000000000.0,1.0595881955806352,287424,0.29M,1.3855614438556145
0.02799801890912518,0.03413327115700343,300000000000000.0,1.2191316559857968,504288,0.5M,1.673415703467517
0.02859481674088903,0.042753727849768816,300000000000000.0,1.495156560616572,965920,1M,1.7097002763409623
0.04450569256915885,0.07497602366398225,300000000000000.0,1.6846389604537566,1985536,2M,1.9518711555618162
0.0725649464658873,0.12923651165107514,300000000000000.0,1.780977151438113,3920256,4M,2.0935339445070507
0.09479376508381591,0.1877989751420443,300000000000000.0,1.9811321448830932,7979296,8M,2.092061779186619
0.023185680414007506,0.023041314895429113,1000000000000000.0,0.9937735051980111,287424,0.29M,1.3855614438556145
0.024816327452457168,0.033742243212650326,1000000000000000.0,1.3596791578968856,504288,0.5M,1.673415703467517
0.030585931865040463,0.04289150394807861,1000000000000000.0,1.4023278459304798,965920,1M,1.7097002763409623
0.04763950393570143,0.07650683233450445,1000000000000000.0,1.60595358922639,1985536,2M,1.9518711555618162
0.07471496916515905,0.14249798962086915,1000000000000000.0,1.907221420460929,3920256,4M,2.0935339445070507
0.10331766083124716,0.2040324520547943,1000000000000000.0,1.9748071182916986,7979296,8M,2.092061779186619
0.03241470063792218,0.04326638450459766,3000000000000000.0,1.3347766184204712,965920,1M,1.7097002763409623
0.048263571298919526,0.07731991078348466,3000000000000000.0,1.6020345926041244,1985536,2M,1.9518711555618162
0.08083743715386342,0.14307331521852765,3000000000000000.0,1.7698893019852475,3920256,4M,2.0935339445070507
0.10713892870482675,0.20531346057126046,3000000000000000.0,1.9163292283508788,7979296,8M,2.092061779186619
0.03529809242571755,0.07824594572081878,1e+16,2.216718818034773,1985536,2M,1.9518711555618162
0.05577662728325159,0.14372903292296302,1e+16,2.5768684827976585,3920256,4M,2.0935339445070507
0.08794960247780345,0.2063459088887068,1e+16,2.346183530969159,7979296,8M,2.092061779186619
