autoregressive_training_flops_per_clean_token,budget,clean_tokens,decay_duration_seconds,decay_steps,effective_train_epochs,final_checkpoint,learning_rate,n_params,objective,seconds_per_step,size,stable_steps,status,steps,training_duration_seconds,trunk_duration_seconds,val_ar_ce,warmup_steps
1920192,100000000000000.0,52068352,9.805417158640921,477,0.03241638267955174,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e14/0.29M/pure_ar_final.pt,0.0081,287424,autoregressive,0.020358867819032404,0.29M,2689,complete,3178,64.70048192888498,54.89506477024406,5.041226252913475,12
3612960,100000000000000.0,27672576,6.6868214327842,253,0.017228215967829735,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e14/0.5M/pure_ar_final.pt,0.0027,504288,autoregressive,0.027512575049215764,0.5M,1431,complete,1689,46.468739258125424,39.781917825341225,4.8587875962257385,5
6774240,100000000000000.0,14745600,3.8484079530462623,135,0.00918022165248476,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e14/1M/pure_ar_final.pt,0.0027,965920,autoregressive,0.029175612669852045,1M,762,complete,900,26.25805140286684,22.409643449820578,4.938318639993668,3
924768,100000000000000.0,108134400,20.38835016079247,990,0.0673216254515549,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e14/0.14M/pure_ar_final.pt,0.0081,137824,autoregressive,0.02028872383885424,0.14M,5585,complete,6600,133.905577336438,113.51722717564553,5.358775466680527,25
14311584,100000000000000.0,6979584,1.0936659490689635,64,0.004345304915509453,results_curriculum/shared_ar/1e14/2M/pure_ar_final.pt,0.0081,1985536,autoregressive,0.02140812926046865,2M,361,complete,426,9.119863064959645,8.026197115890682,5.860342919826508,1
1920192,300000000000000.0,156221440,32.34757671598345,1430,0.09725934828493576,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e14/0.29M/pure_ar_final.pt,0.0027,287424,autoregressive,0.020934211483540712,0.29M,8070,complete,9535,199.6077064955607,167.26012977957726,4.949309930205345,35
3612960,300000000000000.0,83034112,21.802697390317917,760,0.05169484814976974,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e14/0.5M/pure_ar_final.pt,0.0027,504288,autoregressive,0.02799801890912518,0.5M,4292,complete,5068,141.8939598314464,120.09126244112849,4.679062604904175,16
6774240,300000000000000.0,44269568,10.498580996878445,405,0.027561065450015357,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e14/1M/pure_ar_final.pt,0.0027,965920,autoregressive,0.02859481674088903,1M,2289,complete,2702,77.26319483388215,66.76461383700371,4.562370330095291,8
924768,300000000000000.0,324403200,66.8089235695079,2970,0.20196487635466473,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e14/0.14M/pure_ar_final.pt,0.0081,137824,autoregressive,0.02144071546180945,0.14M,16755,complete,19800,424.52616614382714,357.71724257431924,5.34801110625267,75
28367712,300000000000000.0,10567680,7.299566186033189,97,0.006579158850947411,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e14/4M/pure_ar_final.pt,0.0009,3920256,autoregressive,0.0725649464658873,4M,546,complete,645,46.80439047049731,39.50482428446412,5.305681377649307,2
55512288,300000000000000.0,5390336,4.7387320371344686,49,0.003355881026297207,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e14/8M/pure_ar_final.pt,0.0009,7979296,autoregressive,0.09479376508381591,8M,279,complete,329,31.187148712575436,26.448416675440967,5.891197368502617,1
14311584,300000000000000.0,20955136,7.931817840784788,192,0.013046114992808899,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e14/2M/pure_ar_final.pt,0.0027,1985536,autoregressive,0.04450569256915885,2M,1084,complete,1279,56.92278079595417,48.99096295516938,4.803326278924942,3
1920192,1000000000000000.0,520765440,112.3857991695404,4768,0.3242148280269201,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e15/0.29M/pure_ar_final.pt,0.0027,287424,autoregressive,0.023185680414007506,0.29M,26899,complete,31785,736.9568519592285,624.5710527896881,4.906899616122246,118
3612960,1000000000000000.0,276774912,64.4515227181837,2534,0.17231276041713894,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e15/0.5M/pure_ar_final.pt,0.0081,504288,autoregressive,0.024816327452457168,0.5M,14306,complete,16893,419.2222196543589,354.7706969361752,4.588854163885117,53
6774240,1000000000000000.0,147603456,42.47830982506275,1351,0.09189401874137244,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e15/1M/pure_ar_final.pt,0.0027,965920,autoregressive,0.030585931865040463,1M,7630,complete,9009,275.54866017214954,233.0703503470868,4.247404895722866,28
28367712,1000000000000000.0,35241984,24.026337491348386,323,0.021940729749438576,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e15/4M/pure_ar_final.pt,0.0027,3920256,autoregressive,0.07471496916515905,4M,1823,complete,2151,160.7118986742571,136.6855611829087,4.530080109834671,5
55512288,1000000000000000.0,18006016,16.955511232838035,165,0.011210070662311946,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e15/8M/pure_ar_final.pt,0.0027,7979296,autoregressive,0.10331766083124716,8M,931,complete,1099,113.54610925354064,96.5905980207026,4.9337698221206665,3
14311584,1000000000000000.0,69861376,30.915484256111085,640,0.043493850140216686,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e15/2M/pure_ar_final.pt,0.0027,1985536,autoregressive,0.04763950393570143,2M,3612,complete,4264,203.1348447818309,172.21936052571982,4.214139461517334,12
28367712,1e+16,352501760,125.47767925169319,3227,0.21945829872578845,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e16/4M/pure_ar_final.pt,0.0009,3920256,autoregressive,0.05577662728325159,4M,18234,complete,21515,1200.034135999158,1074.5564567474648,3.6734781339764595,54
55512288,1e+16,180125696,137.53031763527542,1649,0.11214150760824161,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e16/8M/pure_ar_final.pt,0.0009,7979296,autoregressive,0.08794960247780345,8M,9317,complete,10994,966.9179296409711,829.3876120056957,3.6009479388594627,28
14311584,1e+16,698728448,212.38974574860185,6397,0.43500990312613064,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/1e16/2M/pure_ar_final.pt,0.0009,1985536,autoregressive,0.03529809242571755,2M,36135,complete,42647,1505.3577476795763,1292.9680019309744,3.8016029968857765,115
6774240,3000000000000000.0,442843136,136.50086668413132,4054,0.2757024567166784,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e15/1M/pure_ar_final.pt,0.0027,965920,autoregressive,0.03241470063792218,1M,22893,complete,27029,876.1369435423985,739.6360768582672,4.121857978403568,82
28367712,3000000000000000.0,105742336,80.12048231624067,968,0.06583238949459627,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e15/4M/pure_ar_final.pt,0.0027,3920256,autoregressive,0.08083743715386342,4M,5470,complete,6454,521.7248193910345,441.6043370747939,3.9826411232352257,16
55512288,3000000000000000.0,54034432,51.97969184629619,495,0.03364041223321638,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e15/8M/pure_ar_final.pt,0.0009,7979296,autoregressive,0.10713892870482675,8M,2795,complete,3298,353.3441868685186,301.3644950222224,4.088305190205574,8
14311584,3000000000000000.0,209616896,93.81844245735556,1919,0.13050195091321112,/root/shakespeare-dLM/scale_to_climbmix/results_curriculum/shared_ar/3e15/2M/pure_ar_final.pt,0.0009,1985536,autoregressive,0.048263571298919526,2M,10841,complete,12794,617.4841311983764,523.6656887410209,3.9967878609895706,34
