p_ar,ar_learning_rate,bd_learning_rate,val_nelbo,source
0.1,0.0009,0.0027,5.307119965553284,diagnostic
0.1,0.0027,0.0027,5.283082216978073,original_center
0.1,0.0081,0.0027,5.372327148914337,diagnostic
0.2,0.0003,0.0027,5.335307568311691,lower_boundary_extension
0.2,0.0009,0.0027,5.271708548069,diagnostic
0.2,0.0027,0.0027,5.272565573453903,original_center
0.2,0.0081,0.0027,5.3404421210289,diagnostic
0.3,0.0009,0.0027,5.27818363904953,diagnostic
0.3,0.0027,0.0027,5.273543402552605,original_center
0.3,0.0081,0.0027,5.333378553390503,diagnostic
0.4,0.0009,0.0027,5.29842346906662,diagnostic
0.4,0.0027,0.0027,5.289076030254364,original_center
0.4,0.0081,0.0027,5.322948828339577,diagnostic
0.5,0.0009,0.0027,5.294355258345604,diagnostic
0.5,0.0027,0.0027,5.279514253139496,original_center
0.5,0.0081,0.0027,5.3147312104702,diagnostic
0.6,0.0009,0.0027,5.335220664739609,diagnostic
0.6,0.0027,0.0027,5.296982645988464,original_center
0.6,0.0081,0.0027,5.327907279133797,diagnostic
