size,n_params,steps,clean_tokens,realized_d_over_n,block_len,p_ar,learning_rate,weight_decay,val_nelbo,val_masked_ce_t0.5,result_path,gain_vs_pure_bd
10M,9692032,23662,387678208,39.99968303860326,4,0.0,0.0009,0.1,4.026988662779331,4.0029042810201645,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_dn40_10M/block_4/p_ar_0p0/result.json,0.0
10M,9692032,23662,387678208,39.99968303860326,32,0.0,0.0009,0.1,4.1747774332761765,4.0615077167749405,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_dn40_10M/block_32/p_ar_0p0/result.json,0.0
10M,9692032,23662,387678208,39.99968303860326,4,0.1,0.0009,0.1,4.044238664209843,4.01449578255415,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_dn40_10M/block_4/p_ar_0p1/result.json,-0.017250001430511475
10M,9692032,23662,387678208,39.99968303860326,32,0.1,0.0009,0.1,4.150878541171551,4.036660023033619,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_dn40_10M/block_32/p_ar_0p1/result.json,0.023898892104625702
10M,9692032,23662,387678208,39.99968303860326,4,0.3,0.0009,0.1,4.039738222956657,4.007563725113869,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_dn40_10M/block_4/p_ar_0p3/result.json,-0.012749560177326202
10M,9692032,23662,387678208,39.99968303860326,32,0.3,0.0009,0.1,4.164420127868652,4.060952201485634,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_dn40_10M/block_32/p_ar_0p3/result.json,0.010357305407524109
10M,9692032,23662,387678208,39.99968303860326,4,0.5,0.0009,0.1,4.0752174854278564,4.041731812059879,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_dn40_10M/block_4/p_ar_0p5/result.json,-0.04822882264852524
10M,9692032,23662,387678208,39.99968303860326,32,0.5,0.0009,0.1,4.201120860874653,4.103602662682533,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_dn40_10M/block_32/p_ar_0p5/result.json,-0.02634342759847641
10M,9692032,23662,387678208,39.99968303860326,4,0.7,0.0009,0.1,4.117891274392605,4.0960383862257,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_dn40_10M/block_4/p_ar_0p7/result.json,-0.09090261161327362
10M,9692032,23662,387678208,39.99968303860326,32,0.7,0.0009,0.1,4.27510329335928,4.182970993220806,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_dn40_10M/block_32/p_ar_0p7/result.json,-0.10032586008310318
