size,n_params,predicted_compute,total_steps,clean_tokens,p_ar,ar_steps,bd_steps,compute_ratio_to_full_bd,realized_flops,learning_rate,val_nelbo,result_path,gain_vs_full_bd
0.14M,137824,37042172463604.83,1794,29392896,0.0,0,1794,1.0,37023762087936,0.0081,6.18949119746685,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/baseline/0.14M/lr_8.1e-03/result.json,0.0
0.14M,137824,37042172463604.83,1794,29392896,0.1,179,1615,0.9734759319759138,36041741303808,0.0081,5.978898838162422,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.14M/p_ar_0p1/result.json,0.2105923593044281
0.14M,137824,37042172463604.83,1794,29392896,0.2,359,1435,0.946803684800855,35054234370048,0.0081,5.991262868046761,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.14M/p_ar_0p2/result.json,0.19822832942008972
0.14M,137824,37042172463604.83,1794,29392896,0.3,538,1256,0.9202796167767687,34072213585920,0.0081,6.009012699127197,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.14M/p_ar_0p3/result.json,0.18047849833965302
0.14M,137824,37042172463604.83,1794,29392896,0.4,718,1076,0.8936073696017099,33084706652160,0.0081,6.0133854150772095,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.14M/p_ar_0p4/result.json,0.1761057823896408
0.14M,137824,37042172463604.83,1794,29392896,0.5,897,897,0.8670833015776237,32102685868032,0.0081,6.0393548756837845,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.14M/p_ar_0p5/result.json,0.1501363217830658
0.14M,137824,37042172463604.83,1794,29392896,0.6,1076,718,0.8405592335535375,31120665083904,0.0081,6.055831015110016,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.14M/p_ar_0p6/result.json,0.1336601823568344
0.29M,287424,154846908300769.88,3552,58195968,0.0,0,3552,1.0,154832933486592,0.0081,5.526666224002838,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/baseline/0.29M/lr_8.1e-03/result.json,0.0
0.29M,287424,154846908300769.88,3552,58195968,0.1,355,3197,0.9721885774061569,150526809341952,0.0081,5.523310095071793,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.29M/p_ar_0p1/result.json,0.0033561289310455322
0.29M,287424,154846908300769.88,3552,58195968,0.2,710,2842,0.944377154812314,146220685197312,0.0081,5.512826576828957,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.29M/p_ar_0p2/result.json,0.01383964717388153
0.29M,287424,154846908300769.88,3552,58195968,0.3,1066,2486,0.9164873901829953,141902431125504,0.0081,5.529832452535629,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.29M/p_ar_0p3/result.json,-0.0031662285327911377
0.29M,287424,154846908300769.88,3552,58195968,0.4,1421,2131,0.8886759675891522,137596306980864,0.0081,5.530544713139534,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.29M/p_ar_0p4/result.json,-0.003878489136695862
0.29M,287424,154846908300769.88,3552,58195968,0.5,1776,1776,0.8608645449953092,133290182836224,0.0081,5.550122380256653,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.29M/p_ar_0p5/result.json,-0.023456156253814697
0.29M,287424,154846908300769.88,3552,58195968,0.6,2131,1421,0.8330531224014662,128984058691584,0.0081,5.585459008812904,/root/shakespeare-dLM/scale_to_climbmix/results_fixed_steps/runs/0.29M/p_ar_0p6/result.json,-0.05879278481006622
