series,budget,size,n_params,learning_rate,wandb_run_id
pure BD,1e+17,10.3M,10296384,0.0009,vjqjjfux
pure BD,1e+17,6.9M,6886272,0.0009,a9zgyi25
pure BD,1e+17,8.5M,8502208,0.0009,p763c2fs
pure BD,1e+18,12.3M,12341760,0.0009,sb1vmfv9
pure BD,1e+18,15.5M,15545344,0.0009,zshm561u
pure BD,1e+18,19.1M,19148800,0.0009,janpf2bm
pure BD,1e+18,22.3M,22277952,0.0009,zvx1g3dt
pure BD,1e+18,24.3M,24269760,0.0009,xtenhe49
pure BD,1e+18,28.1M,28123648,0.0009,9tcwa0ww
pure BD,1e+18,35.3M,35283360,0.0009,91ptb0qb
pure BD,3e+16,3.4M,3422016,0.0009,290h6199
pure BD,3e+16,4.4M,4411840,0.0009,8zhh264f
pure BD,3e+16,5.6M,5550336,0.0009,mwgl3gwk
pure BD,3e+17,10.3M,10296384,0.0009,26o0tv84
pure BD,3e+17,12.3M,12341760,0.0009,gkonxpzo
pure BD,3e+17,15.5M,15545344,0.0009,8mjfvtna
pure BD,3e+17,19.1M,19148800,0.0009,fn3yh02f
pure BD,3e+17,24.3M,24269760,0.0009,nobiq284
pure BD,3e+17,8.5M,8502208,0.0009,gkalr90a
pure AR,1000000000000000.0,3.4M,3422016,0.0027,5j3v9c91
pure AR,1000000000000000.0,4M,3920256,0.0027,55k43pg9
pure AR,1e+16,10.3M,10296384,0.0027,kq6pwb08
pure AR,1e+16,5.6M,5550336,0.0027,av2l5hkf
pure AR,1e+16,6.9M,6886272,0.0027,oqh8tc1l
pure AR,1e+16,8.5M,8502208,0.0027,sav9f7z1
pure AR,1e+17,12.3M,12341760,0.0027,4rbztjxx
pure AR,1e+17,15.5M,15545344,0.0027,0damd8i8
pure AR,1e+17,19.1M,19148800,0.0027,tqlorz62
pure AR,1e+17,24.3M,24269760,0.0027,sebj1013
pure AR,1e+17,28.1M,28123648,0.0027,z1rz1c2a
pure AR,1e+17,35.3M,35283360,0.0027,p1crlu0p
pure AR,1e+18,107.7M,107703424,0.0009,wn0095s2
pure AR,1e+18,134.8M,134838528,0.0009,vu53i3fa
pure AR,1e+18,68.5M,68510016,0.0027,0qdbj9vt
pure AR,1e+18,85.8M,85832320,0.0009,h2oshzvz
pure AR,3000000000000000.0,3.4M,3422016,0.0027,isczf2hu
pure AR,3000000000000000.0,4.4M,4411840,0.0027,b6x142p3
pure AR,3000000000000000.0,5.6M,5550336,0.0027,low6ictp
pure AR,3e+16,10.3M,10296384,0.0027,c63zx48i
pure AR,3e+16,12.3M,12341760,0.0027,lq6721fj
pure AR,3e+16,15.5M,15545344,0.0027,bfbuxyp4
pure AR,3e+16,19.1M,19148800,0.0027,i2q37y1e
pure AR,3e+16,8.5M,8502208,0.0027,pls6f71i
pure AR,3e+17,19.1M,19148800,0.0027,flemzgnf
pure AR,3e+17,24.3M,24269760,0.0027,t3pgufxj
pure AR,3e+17,28.1M,28123648,0.0027,beth8pe5
pure AR,3e+17,35.3M,35283360,0.0027,38gaft0s
pure AR,3e+17,43.7M,43734592,0.0027,5j51qkz3
pure AR,3e+17,54.5M,54483456,0.0027,tjvz6krd
pure AR,3e+17,68.5M,68510016,0.0027,gtlp5w4h
p_AR=0.4 AR phase,1e+17,10.3M,10296384,0.0027,fj1ozb1f
p_AR=0.4 AR phase,1e+17,12.3M,12341760,0.0027,huewqjmx
p_AR=0.4 AR phase,1e+17,6.9M,6886272,0.0027,jgc5ims3
p_AR=0.4 AR phase,1e+17,8.5M,8502208,0.0027,l14bcc9r
p_AR=0.4 AR phase,1e+18,28.1M,28123648,0.0027,jtm96vhg
p_AR=0.4 AR phase,1e+18,35.3M,35283360,0.0027,di83nzvd
p_AR=0.4 AR phase,1e+18,43.7M,43734592,0.0027,fbr5etj3
p_AR=0.4 AR phase,1e+18,54.5M,54483456,0.0027,1ycwnug3
p_AR=0.4 AR phase,1e+18,68.5M,68510016,0.0027,43nmtbob
p_AR=0.4 AR phase,1e+18,85.8M,85832320,0.0009,ulnyl1zf
p_AR=0.4 AR phase,3e+16,3.4M,3422016,0.0027,72jf8nqw
p_AR=0.4 AR phase,3e+16,4.4M,4411840,0.0027,em05gg93
p_AR=0.4 AR phase,3e+16,5.6M,5550336,0.0027,sztm09yp
p_AR=0.4 AR phase,3e+16,6.9M,6886272,0.0027,v01scsn7
p_AR=0.4 AR phase,3e+16,8.5M,8502208,0.0027,i66w00uk
p_AR=0.4 AR phase,3e+17,12.3M,12341760,0.0027,te8h61cs
p_AR=0.4 AR phase,3e+17,15.5M,15545344,0.0027,j93ch0zn
p_AR=0.4 AR phase,3e+17,19.1M,19148800,0.0027,grewcpi9
p_AR=0.4 AR phase,3e+17,24.3M,24269760,0.0027,u1rfpke2
p_AR=0.4 AR phase,3e+17,28.1M,28123648,0.0027,3vp77re2
p_AR=0.4 AR phase,3e+17,35.3M,35283360,0.0027,xteglkhi
p_AR=0.4 AR phase,3e+17,43.7M,43734592,0.0027,9yrg79ep
p_AR=0.4 AR phase,3e+17,54.5M,54483456,0.0027,wlbnv3qw
p_AR=0.4 BD phase,1e+17,10.3M,10296384,0.0009,fj1ozb1f
p_AR=0.4 BD phase,1e+17,12.3M,12341760,0.0009,huewqjmx
p_AR=0.4 BD phase,1e+17,6.9M,6886272,0.0009,jgc5ims3
p_AR=0.4 BD phase,1e+17,8.5M,8502208,0.0009,l14bcc9r
p_AR=0.4 BD phase,1e+18,28.1M,28123648,0.0009,jtm96vhg
p_AR=0.4 BD phase,1e+18,35.3M,35283360,0.0009,di83nzvd
p_AR=0.4 BD phase,1e+18,43.7M,43734592,0.0009,fbr5etj3
p_AR=0.4 BD phase,1e+18,54.5M,54483456,0.0009,1ycwnug3
p_AR=0.4 BD phase,1e+18,68.5M,68510016,0.0009,43nmtbob
p_AR=0.4 BD phase,1e+18,85.8M,85832320,0.0009,ulnyl1zf
p_AR=0.4 BD phase,3e+16,3.4M,3422016,0.0009,72jf8nqw
p_AR=0.4 BD phase,3e+16,4.4M,4411840,0.0009,em05gg93
p_AR=0.4 BD phase,3e+16,5.6M,5550336,0.0009,sztm09yp
p_AR=0.4 BD phase,3e+16,6.9M,6886272,0.0009,v01scsn7
p_AR=0.4 BD phase,3e+16,8.5M,8502208,0.0009,i66w00uk
p_AR=0.4 BD phase,3e+17,12.3M,12341760,0.0009,te8h61cs
p_AR=0.4 BD phase,3e+17,15.5M,15545344,0.0009,j93ch0zn
p_AR=0.4 BD phase,3e+17,19.1M,19148800,0.0009,grewcpi9
p_AR=0.4 BD phase,3e+17,24.3M,24269760,0.0009,u1rfpke2
p_AR=0.4 BD phase,3e+17,28.1M,28123648,0.0009,3vp77re2
p_AR=0.4 BD phase,3e+17,35.3M,35283360,0.0009,xteglkhi
p_AR=0.4 BD phase,3e+17,43.7M,43734592,0.0009,9yrg79ep
p_AR=0.4 BD phase,3e+17,54.5M,54483456,0.0009,wlbnv3qw
