budget,size,n_params,steps,learning_rate,val_nelbo,val_masked_ce_t0.5,clean_tokens,realized_flops,duration_seconds,result_path
10000000000000.0,0.01M,11152,2280,0.027,2.093556225299835,2.094328057765961,74711040,9998130216960,20.211025283671916,results/runs/1e13/0.01M/lr_2.7e-02/result.json
10000000000000.0,0.02M,22488,1130,0.027,2.0443541169166566,2.045251166820526,37027840,9992184791040,11.12537197675556,results/runs/1e13/0.02M/lr_2.7e-02/result.json
10000000000000.0,0.04M,39968,636,0.009,2.0521973729133607,2.051553797721863,20840448,9995412307968,7.204916718415916,results/runs/1e13/0.04M/lr_9.0e-03/result.json
10000000000000.0,0.1M,114192,222,0.009,2.4846788883209228,2.489579749107361,7274496,9968270966784,3.5536437649279833,results/runs/1e13/0.1M/lr_9.0e-03/result.json
30000000000000.0,0.01M,11152,6841,0.009,2.0621118187904357,2.066204011440277,224165888,29998775795712,70.83049671724439,results/runs/3e13/0.01M/lr_9.0e-03/result.json
30000000000000.0,0.02M,22488,3392,0.009,1.9417110979557037,1.9417109727859496,111149056,29994239655936,35.44031133130193,results/runs/3e13/0.02M/lr_9.0e-03/result.json
30000000000000.0,0.04M,39968,1908,0.009,1.8929761826992035,1.8914146602153779,62521344,29986236923904,17.57063897140324,results/runs/3e13/0.04M/lr_9.0e-03/result.json
30000000000000.0,0.1M,114192,668,0.027,1.9980363249778748,1.994689518213272,21889024,29994617143296,8.999736645258963,results/runs/3e13/0.1M/lr_2.7e-02/result.json
30000000000000.0,0.2M,205504,371,0.009,2.163950705528259,2.1646226763725283,12156928,29979567980544,4.76229546032846,results/runs/3e13/0.2M/lr_9.0e-03/result.json
30000000000000.0,0.4M,393360,193,0.003,2.4581430912017823,2.4582340478897096,6324224,29852361031680,3.9218021174892783,results/runs/3e13/0.4M/lr_3.0e-03/result.json
100000000000000.0,0.01M,11152,22804,0.027,2.0310318171977997,2.0329577803611754,747241472,99998842748928,193.57238952163607,results/runs/1e14/0.01M/lr_2.7e-02/result.json
100000000000000.0,0.02M,22488,11308,0.027,1.9014622926712037,1.901624369621277,370540544,99992589041664,93.52506441902369,results/runs/1e14/0.02M/lr_2.7e-02/result.json
100000000000000.0,0.04M,39968,6362,0.009,1.8255966782569886,1.823031234741211,208470016,99985555193856,67.12946455180645,results/runs/1e14/0.04M/lr_9.0e-03/result.json
100000000000000.0,0.1M,114192,2227,0.003,1.7778440415859222,1.769156628847122,72974336,99997024518144,29.22447296511382,results/runs/1e14/0.1M/lr_3.0e-03/result.json
100000000000000.0,0.2M,205504,1237,0.009,1.8122154295444488,1.806454247236252,40534016,99958829088768,16.58753628283739,results/runs/1e14/0.2M/lr_9.0e-03/result.json
100000000000000.0,0.4M,393360,646,0.009,1.9167884767055512,1.9127587258815766,21168128,99920337960960,10.896412814967334,results/runs/1e14/0.4M/lr_9.0e-03/result.json
100000000000000.0,0.8M,781920,325,0.003,2.1214188933372498,2.117255616188049,10649600,99925622784000,8.611782568506896,results/runs/1e14/0.8M/lr_3.0e-03/result.json
100000000000000.0,1.6M,1591680,159,0.009,2.596724510192871,2.6016201972961426,5210112,99513972817920,6.650788864120841,results/runs/1e14/1.6M/lr_9.0e-03/result.json
300000000000000.0,0.04M,39968,19088,0.027,1.802231591939926,1.7951283931732178,625475584,299988097695744,233.83280919864774,results/runs/3e14/0.04M/lr_2.7e-02/result.json
300000000000000.0,0.1M,114192,6681,0.009,1.693047535419464,1.6805809080600738,218923008,299991073554432,109.46433347463608,results/runs/3e14/0.1M/lr_9.0e-03/result.json
300000000000000.0,0.2M,205504,3712,0.003,1.6745655834674835,1.6565378844738006,121634816,299957294727168,76.2732688980177,results/runs/3e14/0.2M/lr_3.0e-03/result.json
300000000000000.0,0.4M,393360,1939,0.003,1.6775591671466827,1.6605113983154296,63537152,299915689328640,56.69781901035458,results/runs/3e14/0.4M/lr_3.0e-03/result.json
300000000000000.0,0.8M,781920,975,0.001,1.7375863075256348,1.7249922275543212,31948800,299776868352000,47.00882896501571,results/runs/3e14/0.8M/lr_1.0e-03/result.json
300000000000000.0,1.6M,1591680,479,0.003,1.9796615242958069,1.9723343014717103,15695872,299793666539520,34.35938588902354,results/runs/3e14/1.6M/lr_3.0e-03/result.json
1000000000000000.0,0.1M,114192,22270,0.009,1.6771628439426423,1.6619793355464936,729743360,999970245181440,371.3689869437367,results/runs/1e15/0.1M/lr_9.0e-03/result.json
1000000000000000.0,0.2M,205504,12375,0.009,1.6122843503952027,1.5908993840217591,405504000,999992328192000,258.461079435423,results/runs/1e15/0.2M/lr_9.0e-03/result.json
1000000000000000.0,0.4M,393360,6465,0.003,1.5704908072948456,1.5483336627483368,211845120,999976756838400,213.74744183849543,results/runs/1e15/0.4M/lr_3.0e-03/result.json
1000000000000000.0,0.8M,781920,3252,0.003,1.5725421845912932,1.5477959513664246,106561536,999871154749440,161.26708152517676,results/runs/1e15/0.8M/lr_3.0e-03/result.json
1000000000000000.0,1.6M,1591680,1597,0.001,1.6168559432029723,1.5964670121669768,52330496,999520846479360,119.21666804794222,results/runs/1e15/1.6M/lr_1.0e-03/result.json
