budget,size,n_params,steps,learning_rate,val_nelbo,val_masked_ce_t0.5,clean_tokens,realized_flops,compute_accounting,training_flops_per_clean_token,effective_compute_parameters,duration_seconds,result_path
10000000000000.0,0.002M,2232,1388,0.027,2.42804936170578,2.4345784306526186,45481984,9994393092096,dense_dual_stream_attention_v1,219744,18312.0,10.434048875235021,results_dense_attention/runs/1e13/0.002M/lr_2.7e-02/result.json
10000000000000.0,0.005M,4308,894,0.081,2.3008011102676393,2.3057337522506716,29294592,9993439936512,dense_dual_stream_attention_v1,341136,28428.0,7.525384910404682,results_dense_attention/runs/1e13/0.005M/lr_8.1e-02/result.json
10000000000000.0,0.01M,11152,426,0.027,2.315013039112091,2.3189709782600403,13959168,9994317594624,dense_dual_stream_attention_v1,715968,59664.0,4.848361917771399,results_dense_attention/runs/1e13/0.01M/lr_2.7e-02/result.json
10000000000000.0,0.02M,22488,266,0.027,2.4415908336639403,2.4445419907569885,8716288,9963344756736,dense_dual_stream_attention_v1,1143072,95256.0,3.599301455542445,results_dense_attention/runs/1e13/0.02M/lr_2.7e-02/result.json
10000000000000.0,0.04M,39968,185,0.009,2.5632964253425596,2.5676114320755006,6062080,9965477560320,dense_dual_stream_attention_v1,1643904,136992.0,2.8970728712156415,results_dense_attention/runs/1e13/0.04M/lr_9.0e-03/result.json
30000000000000.0,0.01M,11152,1278,0.027,2.1433741569519045,2.1469118475914,41877504,29982952783872,dense_dual_stream_attention_v1,715968,59664.0,14.251815575174987,results_dense_attention/runs/3e13/0.01M/lr_2.7e-02/result.json
30000000000000.0,0.02M,22488,800,0.027,2.0779751539230347,2.0767124772071837,26214400,29964946636800,dense_dual_stream_attention_v1,1143072,95256.0,9.37393665406853,results_dense_attention/runs/3e13/0.02M/lr_2.7e-02/result.json
30000000000000.0,0.04M,39968,556,0.009,2.1104687571525576,2.109746181964874,18219008,29950300127232,dense_dual_stream_attention_v1,1643904,136992.0,7.231986248865724,results_dense_attention/runs/3e13/0.04M/lr_9.0e-03/result.json
30000000000000.0,0.1M,114192,247,0.009,2.4144751906394957,2.415024185180664,8093696,29990445907968,dense_dual_stream_attention_v1,3705408,308784.0,4.899815971031785,results_dense_attention/runs/3e13/0.1M/lr_9.0e-03/result.json
30000000000000.0,0.2M,205504,164,0.009,2.665190804004669,2.6759498476982118,5373952,29984072663040,dense_dual_stream_attention_v1,5579520,464960.0,4.309720877557993,results_dense_attention/runs/3e13/0.2M/lr_9.0e-03/result.json
100000000000000.0,0.01M,11152,4262,0.009,2.061352664232254,2.0696313619613647,139657216,99990097625088,dense_dual_stream_attention_v1,715968,59664.0,39.24008131213486,results_dense_attention/runs/1e14/0.01M/lr_9.0e-03/result.json
