size,n_params,steps,clean_tokens,realized_d_over_n,block_len,p_ar,ar_weight_decay,bd_weight_decay,learning_rate,val_nelbo,val_masked_ce_t0.5,result_path
0.4M,393360,720,23592960,59.97803538743136,4,0.0,,0.1,0.003,1.8875705659389497,1.8817667841911316,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p0/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.1,0.1,0.1,0.003,1.8561773419380188,1.8490755081176757,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p1/ar_wd_0p1/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.1,0.2,0.1,0.003,1.863833248615265,1.8596835792064668,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p1/ar_wd_0p2/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.1,0.4,0.1,0.003,1.8582766234874726,1.8534891545772552,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p1/ar_wd_0p4/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.1,0.8,0.1,0.003,1.8680550754070282,1.8623115599155426,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p1/ar_wd_0p8/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.3,0.1,0.1,0.003,1.864123910665512,1.8582755386829377,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p3/ar_wd_0p1/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.3,0.2,0.1,0.003,1.8397130072116852,1.8357441306114197,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p3/ar_wd_0p2/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.3,0.4,0.1,0.003,1.8432156026363373,1.8414388835430144,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p3/ar_wd_0p4/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.3,0.8,0.1,0.003,1.8484448492527008,1.844215101003647,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p3/ar_wd_0p8/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.5,0.1,0.1,0.003,1.853269386291504,1.8468990623950958,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p5/ar_wd_0p1/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.5,0.2,0.1,0.003,1.8392082631587983,1.8353416860103606,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p5/ar_wd_0p2/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.5,0.4,0.1,0.003,1.8451228260993957,1.8408990979194642,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p5/ar_wd_0p4/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.5,0.8,0.1,0.003,1.8494635105133057,1.8442991137504579,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p5/ar_wd_0p8/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.7,0.1,0.1,0.003,1.9317435383796693,1.930649083852768,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p7/ar_wd_0p1/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.7,0.2,0.1,0.003,1.9154996573925018,1.9146446466445923,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p7/ar_wd_0p2/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.7,0.4,0.1,0.003,1.9039384841918945,1.903254908323288,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p7/ar_wd_0p4/result.json
0.4M,393360,720,23592960,59.97803538743136,4,0.7,0.8,0.1,0.003,1.8894041717052459,1.887364786863327,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p7/ar_wd_0p8/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.0,,0.1,0.001,1.6570566296577454,1.6403347730636597,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p0/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.1,0.1,0.1,0.001,1.6856022715568542,1.6716996550559997,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p1/ar_wd_0p1/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.1,0.2,0.1,0.001,1.6893885016441346,1.6757797956466676,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p1/ar_wd_0p2/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.1,0.4,0.1,0.001,1.6861880421638489,1.6701678156852722,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p1/ar_wd_0p4/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.1,0.8,0.1,0.001,1.683361667394638,1.6670227885246276,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p1/ar_wd_0p8/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.3,0.1,0.1,0.001,1.6935500383377076,1.6772929251194,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p3/ar_wd_0p1/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.3,0.2,0.1,0.001,1.6823316991329194,1.6697064459323883,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p3/ar_wd_0p2/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.3,0.4,0.1,0.001,1.68311727643013,1.6669076144695283,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p3/ar_wd_0p4/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.3,0.8,0.1,0.001,1.686009842157364,1.6724668264389038,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p3/ar_wd_0p8/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.5,0.1,0.1,0.001,1.7096943140029908,1.699091023206711,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p5/ar_wd_0p1/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.5,0.2,0.1,0.001,1.7037335574626922,1.6937302231788636,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p5/ar_wd_0p2/result.json
0.8M,781920,1432,46923776,60.0109678739513,4,0.5,0.4,0.1,0.001,1.7075350105762481,1.6943513095378875,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p5/ar_wd_0p4/result.json
