size,n_params,steps,clean_tokens,realized_d_over_n,block_len,p_ar,ar_weight_decay,bd_weight_decay,learning_rate,val_nelbo,val_masked_ce_t0.5,result_path
0.4M,393360,720,23592960,59.97803538743136,32,0.0,,0.1,0.003,1.9905039489269256,1.9251346230506896,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p0/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.1,0.1,0.1,0.003,1.9857004761695862,1.9245775818824769,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p1/ar_wd_0p1/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.1,0.2,0.1,0.003,1.9834579169750213,1.9217324435710907,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p1/ar_wd_0p2/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.1,0.4,0.1,0.003,1.9906739711761474,1.9304412484169007,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p1/ar_wd_0p4/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.1,0.8,0.1,0.003,1.987706685066223,1.9250012338161469,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p1/ar_wd_0p8/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.3,0.1,0.1,0.003,2.004783535003662,1.9445558786392212,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p3/ar_wd_0p1/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.3,0.2,0.1,0.003,1.993522161245346,1.9329958617687226,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p3/ar_wd_0p2/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.3,0.4,0.1,0.003,1.9962905943393707,1.9348435163497926,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p3/ar_wd_0p4/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.3,0.8,0.1,0.003,1.9987886846065521,1.9395383954048158,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p3/ar_wd_0p8/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.5,0.1,0.1,0.003,2.0203970849514006,1.9630673229694366,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p5/ar_wd_0p1/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.5,0.2,0.1,0.003,2.0129204869270323,1.9538558840751648,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p5/ar_wd_0p2/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.5,0.4,0.1,0.003,2.0159928143024444,1.9562304615974426,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p5/ar_wd_0p4/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.5,0.8,0.1,0.003,2.0295003414154054,1.9706004321575166,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p5/ar_wd_0p8/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.7,0.1,0.1,0.003,2.1009594440460204,2.047671139240265,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p7/ar_wd_0p1/result.json
0.4M,393360,720,23592960,59.97803538743136,32,0.7,0.2,0.1,0.003,2.112567436695099,2.0562493324279787,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p7/ar_wd_0p2/result.json
