block_len,size,n_params,steps,clean_tokens,realized_d_over_n,learning_rate,p_ar,selected_ar_weight_decay,minimum_val_nelbo,gain_vs_pure_bd,selected_result_path
4,0.4M,393360,720,23592960,59.97803538743136,0.003,0.0,,1.8875705659389497,0.0,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p0/result.json
4,0.4M,393360,720,23592960,59.97803538743136,0.003,0.1,0.1,1.8561773419380188,0.03139322400093092,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p1/ar_wd_0p1/result.json
4,0.4M,393360,720,23592960,59.97803538743136,0.003,0.3,0.2,1.8397130072116852,0.04785755872726449,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p3/ar_wd_0p2/result.json
4,0.4M,393360,720,23592960,59.97803538743136,0.003,0.5,0.2,1.8392082631587983,0.04836230278015141,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p5/ar_wd_0p2/result.json
4,0.4M,393360,720,23592960,59.97803538743136,0.003,0.7,0.8,1.8894041717052459,-0.001833605766296209,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.4M/p_ar_0p7/ar_wd_0p8/result.json
4,0.8M,781920,1432,46923776,60.0109678739513,0.001,0.0,,1.6570566296577454,0.0,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p0/result.json
4,0.8M,781920,1432,46923776,60.0109678739513,0.001,0.1,0.8,1.683361667394638,-0.026305037736892745,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p1/ar_wd_0p8/result.json
4,0.8M,781920,1432,46923776,60.0109678739513,0.001,0.3,0.2,1.6823316991329194,-0.025275069475173995,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p3/ar_wd_0p2/result.json
4,0.8M,781920,1432,46923776,60.0109678739513,0.001,0.5,0.8,1.6999399662017822,-0.042883336544036865,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p5/ar_wd_0p8/result.json
4,0.8M,781920,1432,46923776,60.0109678739513,0.001,0.7,0.4,1.7570634007453918,-0.10000677108764644,/root/shakespeare-dLM/scaling/results_fixed_dn60/0.8M/p_ar_0p7/ar_wd_0p4/result.json
32,0.4M,393360,720,23592960,59.97803538743136,0.003,0.0,,1.9905039489269256,0.0,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p0/result.json
32,0.4M,393360,720,23592960,59.97803538743136,0.003,0.1,0.2,1.9834579169750213,0.007046031951904341,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p1/ar_wd_0p2/result.json
32,0.4M,393360,720,23592960,59.97803538743136,0.003,0.3,0.2,1.993522161245346,-0.0030182123184203657,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p3/ar_wd_0p2/result.json
32,0.4M,393360,720,23592960,59.97803538743136,0.003,0.5,0.2,2.0129204869270323,-0.02241653800010668,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p5/ar_wd_0p2/result.json
32,0.4M,393360,720,23592960,59.97803538743136,0.003,0.7,0.1,2.1009594440460204,-0.1104554951190948,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.4M/p_ar_0p7/ar_wd_0p1/result.json
32,0.8M,781920,1432,46923776,60.0109678739513,0.001,0.0,,1.8114774465560912,0.0,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.8M/p_ar_0p0/result.json
32,0.8M,781920,1432,46923776,60.0109678739513,0.001,0.1,0.2,1.8285870373249054,-0.01710959076881413,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.8M/p_ar_0p1/ar_wd_0p2/result.json
32,0.8M,781920,1432,46923776,60.0109678739513,0.001,0.3,0.2,1.8346760392189025,-0.023198592662811324,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.8M/p_ar_0p3/ar_wd_0p2/result.json
32,0.8M,781920,1432,46923776,60.0109678739513,0.001,0.5,0.8,1.868536901473999,-0.05705945491790776,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.8M/p_ar_0p5/ar_wd_0p8/result.json
32,0.8M,781920,1432,46923776,60.0109678739513,0.001,0.7,0.8,1.9492067396640778,-0.13772929310798654,/root/shakespeare-dLM/scaling/results_fixed_dn60_bl32/0.8M/p_ar_0p7/ar_wd_0p8/result.json
