budget,p_ar,status,learning_rate,selected_ar_weight_decay,selected_val_nelbo,left_ar_weight_decay,left_val_nelbo,right_ar_weight_decay,right_val_nelbo,discrete_curvature,selected_result_path
100000000000000.0,0.1,lower_boundary,0.003,0.1,2.52318035364151,,,0.2,2.5373543381690977,,/root/shakespeare-dLM/scaling/results_p_ar/runs/p_ar_0.1/1e14/0.8M/lr_3.0e-03/result.json
100000000000000.0,0.2,lower_boundary,0.003,0.1,2.361195242404938,,,0.2,2.481318974494934,,/root/shakespeare-dLM/scaling/results_p_ar/runs/p_ar_0.2/1e14/0.8M/lr_3.0e-03/result.json
100000000000000.0,0.3,lower_boundary,0.003,0.1,2.2405662894248963,,,0.2,2.2903839111328126,,/root/shakespeare-dLM/scaling/results_p_ar/runs/p_ar_0.3/1e14/0.8M/lr_3.0e-03/result.json
100000000000000.0,0.4,locally_bracketed,0.003,0.4,2.225458836555481,0.2,2.234276533126831,0.8,2.2537216544151306,0.03708051443099958,/root/shakespeare-dLM/scaling/results_p_ar/ar_wd_sweep/0.8M/p_ar_0.4/1e14/ar_wd_4.0e-01/result.json
100000000000000.0,0.5,lower_boundary,0.003,0.1,2.1643106818199156,,,0.2,2.194928526878357,,/root/shakespeare-dLM/scaling/results_p_ar/runs/p_ar_0.5/1e14/0.8M/lr_3.0e-03/result.json
300000000000000.0,0.1,locally_bracketed,0.003,0.4,1.8944200813770293,0.2,1.8973499834537506,0.8,1.8990746080875396,0.007584428787231534,/root/shakespeare-dLM/scaling/results_p_ar/ar_wd_sweep/0.8M/p_ar_0.1/3e14/ar_wd_4.0e-01/result.json
300000000000000.0,0.2,lower_boundary,0.003,0.1,1.874550700187683,,,0.2,1.8812282085418701,,/root/shakespeare-dLM/scaling/results_p_ar/runs/p_ar_0.2/3e14/0.8M/lr_3.0e-03/result.json
300000000000000.0,0.3,lower_boundary,0.003,0.1,1.8324168920516968,,,0.2,1.8339366614818573,,/root/shakespeare-dLM/scaling/results_p_ar/runs/p_ar_0.3/3e14/0.8M/lr_3.0e-03/result.json
300000000000000.0,0.4,locally_bracketed,0.003,0.2,1.80534508228302,0.1,1.8121922612190247,0.4,1.80737247467041,0.008874571323394864,/root/shakespeare-dLM/scaling/results_p_ar/ar_wd_sweep/0.8M/p_ar_0.4/3e14/ar_wd_2.0e-01/result.json
300000000000000.0,0.5,locally_bracketed,0.003,0.8,1.7952648997306824,0.4,1.7961993634700775,1.6,1.8039417326450349,0.009611296653747603,/root/shakespeare-dLM/scaling/results_p_ar/ar_wd_sweep/0.8M/p_ar_0.5/3e14/ar_wd_8.0e-01/result.json
1000000000000000.0,0.1,locally_bracketed,0.001,0.2,1.6478337705135346,0.1,1.6517386555671691,0.4,1.6481112658977508,0.004182380437850686,/root/shakespeare-dLM/scaling/results_p_ar/ar_wd_sweep/0.8M/p_ar_0.1/1e15/ar_wd_2.0e-01/result.json
1000000000000000.0,0.2,locally_bracketed,0.001,0.2,1.6261970937252044,0.1,1.6329443037509919,0.4,1.6284430921077728,0.008993208408355935,/root/shakespeare-dLM/scaling/results_p_ar/ar_wd_sweep/0.8M/p_ar_0.2/1e15/ar_wd_2.0e-01/result.json
1000000000000000.0,0.3,lower_boundary,0.001,0.1,1.6348924815654755,,,0.2,1.6459264039993287,,/root/shakespeare-dLM/scaling/results_p_ar/runs/p_ar_0.3/1e15/0.8M/lr_1.0e-03/result.json
1000000000000000.0,0.4,locally_bracketed,0.001,1.6,1.6076334059238433,0.8,1.6134468257427215,3.2,1.6197775065898896,0.017957520484924494,/root/shakespeare-dLM/scaling/results_p_ar/ar_wd_sweep/0.8M/p_ar_0.4/1e15/ar_wd_1.6e00/result.json
1000000000000000.0,0.5,locally_bracketed,0.001,0.4,1.6251512050628663,0.2,1.6357459604740143,0.8,1.628968095779419,0.01441164612770085,/root/shakespeare-dLM/scaling/results_p_ar/ar_wd_sweep/0.8M/p_ar_0.5/1e15/ar_wd_4.0e-01/result.json
