p_ar,budget,size,n_params,steps,ar_steps,bd_steps,learning_rate,val_nelbo,val_masked_ce_t0.5,clean_tokens,realized_flops,effective_compute_parameters,duration_seconds,result_path
0.0,10000000000000.0,0.002M,2232,1388,,,0.027,2.42804936170578,2.4345784306526186,45481984,9994393092096,18312.0,10.434048875235021,results_dense_attention/runs/1e13/0.002M/lr_2.7e-02/result.json
0.0,10000000000000.0,0.005M,4308,894,,,0.081,2.3008011102676393,2.3057337522506716,29294592,9993439936512,28428.0,7.525384910404682,results_dense_attention/runs/1e13/0.005M/lr_8.1e-02/result.json
0.0,10000000000000.0,0.01M,11152,426,,,0.027,2.315013039112091,2.3189709782600403,13959168,9994317594624,59664.0,4.848361917771399,results_dense_attention/runs/1e13/0.01M/lr_2.7e-02/result.json
0.0,10000000000000.0,0.02M,22488,266,,,0.027,2.4415908336639403,2.4445419907569885,8716288,9963344756736,95256.0,3.599301455542445,results_dense_attention/runs/1e13/0.02M/lr_2.7e-02/result.json
0.0,10000000000000.0,0.04M,39968,185,,,0.009,2.5632964253425596,2.5676114320755006,6062080,9965477560320,136992.0,2.8970728712156415,results_dense_attention/runs/1e13/0.04M/lr_9.0e-03/result.json
0.0,30000000000000.0,0.01M,11152,1278,,,0.027,2.1433741569519045,2.1469118475914,41877504,29982952783872,59664.0,14.251815575174987,results_dense_attention/runs/3e13/0.01M/lr_2.7e-02/result.json
0.0,30000000000000.0,0.02M,22488,800,,,0.027,2.0779751539230347,2.0767124772071837,26214400,29964946636800,95256.0,9.37393665406853,results_dense_attention/runs/3e13/0.02M/lr_2.7e-02/result.json
0.0,30000000000000.0,0.04M,39968,556,,,0.009,2.1104687571525576,2.109746181964874,18219008,29950300127232,136992.0,7.231986248865724,results_dense_attention/runs/3e13/0.04M/lr_9.0e-03/result.json
0.0,30000000000000.0,0.1M,114192,247,,,0.009,2.4144751906394957,2.415024185180664,8093696,29990445907968,308784.0,4.899815971031785,results_dense_attention/runs/3e13/0.1M/lr_9.0e-03/result.json
0.0,30000000000000.0,0.2M,205504,164,,,0.009,2.665190804004669,2.6759498476982118,5373952,29984072663040,464960.0,4.309720877557993,results_dense_attention/runs/3e13/0.2M/lr_9.0e-03/result.json
0.0,100000000000000.0,0.01M,11152,4262,,,0.009,2.061352664232254,2.0696313619613647,139657216,99990097625088,59664.0,39.24008131213486,results_dense_attention/runs/1e14/0.01M/lr_9.0e-03/result.json
0.0,100000000000000.0,0.02M,22488,2669,,,0.009,1.9618567168712615,1.9634137451648712,87457792,99970553217024,95256.0,28.782179527916014,results_dense_attention/runs/1e14/0.02M/lr_9.0e-03/result.json
0.0,100000000000000.0,0.04M,39968,1856,,,0.009,1.8922452747821807,1.890158861875534,60817408,99977980280832,136992.0,21.835679495707154,results_dense_attention/runs/1e14/0.04M/lr_9.0e-03/result.json
0.0,100000000000000.0,0.1M,114192,823,,,0.003,1.962802344560623,1.9595059156417847,26968064,99927680090112,308784.0,12.937536380253732,results_dense_attention/runs/1e14/0.1M/lr_3.0e-03/result.json
0.0,100000000000000.0,0.2M,205504,546,,,0.009,1.9996957659721375,1.998246395587921,17891328,99825022402560,464960.0,10.091622765175998,results_dense_attention/runs/1e14/0.2M/lr_9.0e-03/result.json
0.0,100000000000000.0,0.4M,393360,318,,,0.003,2.2100971817970274,2.207091450691223,10420224,99964126494720,799440.0,8.326703482307494,results_dense_attention/runs/1e14/0.4M/lr_3.0e-03/result.json
0.0,100000000000000.0,0.8M,781920,173,,,0.003,2.4551612734794617,2.4551249623298643,5668864,99688560721920,1465440.0,6.472257113084197,results_dense_attention/runs/1e14/0.8M/lr_3.0e-03/result.json
0.0,300000000000000.0,0.01M,11152,12787,,,0.027,2.0457835614681246,2.0496589303016663,419004416,299993753714688,59664.0,118.44890597648919,results_dense_attention/runs/3e14/0.01M/lr_2.7e-02/result.json
0.0,300000000000000.0,0.02M,22488,8009,,,0.009,1.9094286799430846,1.909029871225357,262438912,299986572017664,95256.0,81.30772480648011,results_dense_attention/runs/3e14/0.02M/lr_9.0e-03/result.json
0.0,300000000000000.0,0.04M,39968,5569,,,0.009,1.835457843542099,1.8335794866085053,182484992,299987808288768,136992.0,64.50245711114258,results_dense_attention/runs/3e14/0.04M/lr_9.0e-03/result.json
0.0,300000000000000.0,0.1M,114192,2470,,,0.003,1.7631201565265655,1.752748477458954,80936960,299904459079680,308784.0,41.732764814049006,results_dense_attention/runs/3e14/0.1M/lr_3.0e-03/result.json
0.0,300000000000000.0,0.2M,205504,1640,,,0.003,1.7547221302986145,1.7444425165653228,53739520,299840726630400,464960.0,33.55946592334658,results_dense_attention/runs/3e14/0.2M/lr_3.0e-03/result.json
0.0,300000000000000.0,0.4M,393360,954,,,0.003,1.7907604932785035,1.7836573719978333,31260672,299892379484160,799440.0,30.09934572223574,results_dense_attention/runs/3e14/0.4M/lr_3.0e-03/result.json
0.0,300000000000000.0,0.8M,781920,520,,,0.003,1.9348643481731416,1.9279813647270203,17039360,299641916620800,1465440.0,27.77120101172477,results_dense_attention/runs/3e14/0.8M/lr_3.0e-03/result.json
0.0,300000000000000.0,1.6M,1591680,289,,,0.003,2.233978474140167,2.234306204319,9469952,299309878738944,2633856.0,20.574570544064045,results_dense_attention/runs/3e14/1.6M/lr_3.0e-03/result.json
0.0,1000000000000000.0,0.04M,39968,18564,,,0.027,1.8092344880104065,1.8034877240657807,608305152,999995272593408,136992.0,213.8534159520641,results_dense_attention/runs/1e15/0.04M/lr_2.7e-02/result.json
0.0,1000000000000000.0,0.1M,114192,8235,,,0.009,1.6771909415721893,1.6628169000148774,269844480,999883894947840,308784.0,136.81537784822285,results_dense_attention/runs/1e15/0.1M/lr_9.0e-03/result.json
0.0,1000000000000000.0,0.2M,205504,5469,,,0.003,1.6401796162128448,1.6222194254398346,179208192,999895691427840,464960.0,114.90193975809962,results_dense_attention/runs/1e15/0.2M/lr_3.0e-03/result.json
0.0,1000000000000000.0,0.4M,393360,3181,,,0.003,1.6128121376037599,1.595088106393814,104235008,999955617546240,799440.0,98.41508597228676,results_dense_attention/runs/1e15/0.4M/lr_3.0e-03/result.json
0.0,1000000000000000.0,0.8M,781920,1735,,,0.001,1.6236506521701812,1.6021855652332306,56852480,999766779494400,1465440.0,85.58708696998656,results_dense_attention/runs/1e15/0.8M/lr_1.0e-03/result.json
0.0,1000000000000000.0,1.6M,1591680,965,,,0.003,1.72838134765625,1.7145099759101867,31621120,999425719664640,2633856.0,71.76634628325701,results_dense_attention/runs/1e15/1.6M/lr_3.0e-03/result.json
0.1,10000000000000.0,0.002M,2232,1496,150,1346,0.027,2.4331308603286743,2.4435404419898985,49020928,9998205714432,16996.491978609625,11.034997522830963,results_p_ar/runs/p_ar_0.1/1e13/0.002M/lr_2.7e-02/result.json
0.1,10000000000000.0,0.005M,4308,962,96,866,0.081,2.2710731744766237,2.2775943517684936,31522816,9992552841216,26416.19126819127,11.987812395207584,results_p_ar/runs/p_ar_0.1/1e13/0.005M/lr_8.1e-02/result.json
0.1,10000000000000.0,0.01M,11152,458,46,412,0.027,2.2966055989265444,2.3019837737083435,15007744,9987975806976,55460.12227074236,5.903377132490277,results_p_ar/runs/p_ar_0.1/1e13/0.01M/lr_2.7e-02/result.json
0.1,10000000000000.0,0.02M,22488,286,29,257,0.027,2.4704081296920775,2.4720942616462707,9371648,9963684495360,88597.76223776223,4.3167973551899195,results_p_ar/runs/p_ar_0.1/1e13/0.02M/lr_2.7e-02/result.json
0.1,10000000000000.0,0.04M,39968,199,20,179,0.009,2.4776177406311035,2.484756875038147,6520832,9991826178048,127691.09547738693,3.807788772508502,results_p_ar/runs/p_ar_0.1/1e13/0.04M/lr_9.0e-03/result.json
0.1,30000000000000.0,0.01M,11152,1375,138,1237,0.027,2.141792380809784,2.1451504945755007,45056000,29987388260352,55463.17963636364,13.93108954001218,results_p_ar/runs/p_ar_0.1/3e13/0.01M/lr_2.7e-02/result.json
0.1,30000000000000.0,0.02M,22488,860,86,774,0.027,2.085397279262543,2.0849435687065125,28180480,29991785988096,88689.6,10.01218190882355,results_p_ar/runs/p_ar_0.1/3e13/0.02M/lr_2.7e-02/result.json
