p_ar,budget,n_points,n_opt,d_opt,effective_compute_parameters_opt,parameter_token_ratio,loss_min,mean_absolute_error,vertex_clipped
0.0,10000000000000.0,5,7316.175012530849,19399754.15796793,42955.87080886095,0.00037712720238395014,2.298706502144844,0.010163610111227595,False
0.0,30000000000000.0,5,23128.843424240407,25783245.809652824,96962.19081400686,0.0008970493317633946,2.07787797285914,0.005398361540256147,False
0.0,100000000000000.0,7,49974.16251261308,51168650.69788058,162860.13447054804,0.0009766558592228624,1.894641331258983,0.012387957508936826,False
0.0,300000000000000.0,8,124617.3491096178,76182349.49320158,328160.0024980979,0.0016357771838047407,1.7402867997388523,0.027331615527597913,False
0.0,1000000000000000.0,6,332478.6691703366,119947336.92884456,694749.3413944532,0.002771872037205548,1.630986600516036,0.009420502052414478,False
0.1,10000000000000.0,5,8562.213772832662,18460645.815785386,45141.07153395273,0.0004638090052901214,2.2911191540121454,0.03262933843068243,False
0.1,30000000000000.0,5,24267.23523443077,26858910.92608709,93078.97877466954,0.0009035077893221978,2.084851140886368,0.016596994691345478,False
0.1,100000000000000.0,7,51508.68812732469,53579539.837562524,155532.00640762426,0.000961349953424086,1.8933589964511466,0.02535025496778766,False
0.1,300000000000000.0,8,137106.9516583825,76242187.33287036,327902.4497402074,0.0017983082130078323,1.7544945281308921,0.02393495080436847,False
0.1,1000000000000000.0,6,335254.22433660727,127119416.74920663,655551.5708331271,0.0026373172007076538,1.6408968332722695,0.007777725509659568,False
0.2,10000000000000.0,5,9515.420778704083,18391340.112238735,45311.18060172145,0.0005173859392862804,2.3472626914998465,0.024281705780585482,False
0.2,30000000000000.0,5,27555.12264906838,26743924.98413541,93479.1733630351,0.0010303320348607832,2.0115872542115927,0.012143204874959146,False
0.2,100000000000000.0,7,62352.21077918355,49755002.687989734,167487.3456562972,0.0012531847535048898,1.8734464315339867,0.020291060147615836,False
0.2,300000000000000.0,8,150652.62524239116,76692633.45870128,325976.54914878384,0.001964368915868785,1.7347933786168834,0.021655840134529675,False
0.2,1000000000000000.0,6,465329.6192908264,102696970.28037483,811448.8003475032,0.004531093936076417,1.631796959858736,0.004193553017570924,False
0.3,10000000000000.0,5,12509.718749051126,16372720.984089505,50897.66900340759,0.0007640586290579114,2.235713130123713,0.0153602397278088,False
0.3,30000000000000.0,5,27540.525240781084,29057388.127837017,86036.63856508138,0.0009477976864134332,2.005606032750819,0.023733681473065538,False
0.3,100000000000000.0,7,73700.02751243846,47309331.24228166,176145.65910172078,0.0015578327906392113,1.867255264807536,0.012240664488052675,False
0.3,300000000000000.0,8,163114.43909455783,78330051.83802965,319162.30633543857,0.00208239922312122,1.7549918078307272,0.019216981693799512,False
0.3,1000000000000000.0,6,497656.66675536404,104181786.31082517,799883.8979849058,0.00477681065354947,1.6119566356683288,0.008125160674964382,False
0.4,10000000000000.0,5,11349.521135144942,19185953.320080277,43434.55440711176,0.0005915536718869414,2.2310923475172135,0.008252288976510336,False
0.4,30000000000000.0,5,31547.282128964744,29129086.611256283,85824.86754095239,0.0010830165239981814,1.9955493195649385,0.02252734984980931,False
0.4,100000000000000.0,7,71290.50097630883,52953731.547925465,157370.08686141975,0.001346279079724302,1.8814062902616877,0.016407283616187103,False
0.4,300000000000000.0,8,158487.24125889433,86915358.79677397,287636.15943247906,0.0018234664557902841,1.7448773368766357,0.01283224289545748,False
0.4,1000000000000000.0,5,553085.3643431322,102706292.86396489,811375.1456661847,0.005385116616716925,1.6293239154847914,0.0011077350400328979,False
0.5,10000000000000.0,5,11193.935941621885,21458282.278760556,38835.04385428689,0.0005216603918339568,2.248554265514585,0.015808097995259195,False
0.5,30000000000000.0,5,30863.241124652013,32599874.429651756,76687.41195291487,0.0009467288345313331,2.0362481097993665,0.004679995758015654,False
0.5,100000000000000.0,7,78990.19395446534,53712030.414667726,155148.35817969116,0.0014706238685196797,1.8864524884402227,0.005921446540202118,False
0.5,300000000000000.0,8,221070.5855127439,74248301.4811026,336708.0391241395,0.002977449734240856,1.7570753567755686,0.01724155781323003,False
0.5,1000000000000000.0,5,772954.3460254484,83045060.70885132,1003471.2795923249,0.009307649840071264,1.6369097863405941,0.002720667306499935,False
