size,n_params,ar_training_flops_per_clean_token,bd_training_flops_per_clean_token,theoretical_flop_ratio_ar_to_bd,ar_seconds_per_step,bd_seconds_per_step,measured_wall_ratio_ar_to_bd,measured_to_theoretical_ratio,warmup_steps,timed_steps_per_repeat,repeats,batch_size,sequence_length,device
0.002M,2232,62304,219744,0.2835299257317606,0.005471295174211264,0.005950535610318184,0.919462638745339,3.242912141892266,20,50,3,128,256,NVIDIA H100 80GB HBM3
0.005M,4308,99216,341136,0.2908400168847615,0.006022372879087925,0.007568309437483549,0.7957355508300086,2.7359905949438175,20,50,3,128,256,NVIDIA H100 80GB HBM3
0.01M,11152,213696,715968,0.29847144006436044,0.007822432946413755,0.00836866244673729,0.9347291752057111,3.13172065978625,20,50,3,128,256,NVIDIA H100 80GB HBM3
0.02M,22488,355104,1143072,0.31065759637188206,0.007554768174886703,0.008269429802894593,0.9135778832347385,2.940787200777516,20,50,3,128,256,NVIDIA H100 80GB HBM3
0.04M,39968,533376,1643904,0.32445690259285215,0.007487488556653261,0.007897041477262974,0.9481384361739912,2.922232286004936,20,50,3,128,256,NVIDIA H100 80GB HBM3
0.1M,114192,1272384,3705408,0.3433856676511736,0.010090909246355296,0.010453305505216122,0.9653318982517068,2.811217791513459,20,50,3,128,256,NVIDIA H100 80GB HBM3
0.2M,205504,2016000,5579520,0.36132140399174123,0.009986818488687276,0.010982445403933526,0.909343786504083,2.5167171843627285,20,50,3,128,256,NVIDIA H100 80GB HBM3
0.4M,393360,3583680,9593280,0.3735614930451316,0.012057202123105525,0.015196277592331171,0.7934312893303695,2.1239643381404725,20,50,3,128,256,NVIDIA H100 80GB HBM3
0.8M,781920,6747264,17585280,0.383688175565018,0.016211351584643124,0.02367931043729186,0.6846209321666874,1.7843159517712965,20,50,3,128,256,NVIDIA H100 80GB HBM3
1.6M,1591680,12682752,31606272,0.4012732662681635,0.01835720058530569,0.035789447724819186,0.5129221531008812,1.2782365440664687,20,50,3,128,256,NVIDIA H100 80GB HBM3
