budget,size,n_params,best_p_ar,pure_bd_val_nelbo,best_curriculum_val_nelbo,loss_improvement
10000000000000.0,0.002M,2232,0.2,2.42804936170578,2.4058207392692568,0.02222862243652335
10000000000000.0,0.005M,4308,0.1,2.3008011102676393,2.2710731744766237,0.029727935791015625
10000000000000.0,0.01M,11152,0.4,2.315013039112091,2.23111914396286,0.08389389514923096
10000000000000.0,0.02M,22488,0.5,2.4415908336639403,2.2354171752929686,0.20617365837097168
10000000000000.0,0.04M,39968,0.3,2.5632964253425596,2.3653619647026063,0.19793446063995335
30000000000000.0,0.01M,11152,0.5,2.1433741569519045,2.1252071380615236,0.01816701889038086
30000000000000.0,0.02M,22488,0.4,2.0779751539230347,2.0597029864788055,0.018272167444229215
30000000000000.0,0.04M,39968,0.4,2.1104687571525576,2.0028945803642273,0.10757417678833026
30000000000000.0,0.1M,114192,0.4,2.4144751906394957,2.149178111553192,0.2652970790863036
30000000000000.0,0.2M,205504,0.5,2.665190804004669,2.3448299527168275,0.32036085128784153
100000000000000.0,0.01M,11152,0.4,2.061352664232254,2.0712175011634826,-0.009864836931228638
100000000000000.0,0.02M,22488,0.1,1.9618567168712615,1.9509893000125884,0.010867416858673096
100000000000000.0,0.04M,39968,0.2,1.8922452747821807,1.8885294377803803,0.0037158370018004483
100000000000000.0,0.1M,114192,0.5,1.962802344560623,1.8933749794960022,0.06942736506462088
100000000000000.0,0.2M,205504,0.3,1.9996957659721375,1.9010466098785401,0.09864915609359737
100000000000000.0,0.4M,393360,0.5,2.2100971817970274,2.003946316242218,0.20615086555480922
100000000000000.0,0.8M,781920,0.5,2.4551612734794617,2.1643106818199156,0.2908505916595461
300000000000000.0,0.01M,11152,0.5,2.0457835614681246,2.0393826961517334,0.006400865316391169
300000000000000.0,0.02M,22488,0.4,1.9094286799430846,1.9179834306240082,-0.008554750680923595
300000000000000.0,0.04M,39968,0.4,1.835457843542099,1.8266279220581054,0.00882992148399353
300000000000000.0,0.1M,114192,0.4,1.7631201565265655,1.7544610500335693,0.008659106492996171
300000000000000.0,0.2M,205504,0.2,1.7547221302986145,1.7397615611553192,0.014960569143295244
300000000000000.0,0.4M,393360,0.5,1.7907604932785035,1.7333162367343902,0.05744425654411334
300000000000000.0,0.8M,781920,0.5,1.9348643481731416,1.811317902803421,0.12354644536972059
300000000000000.0,1.6M,1591680,0.5,2.233978474140167,1.967250370979309,0.26672810316085815
1000000000000000.0,0.04M,39968,0.1,1.8092344880104065,1.8021688640117646,0.007065623998641968
1000000000000000.0,0.1M,114192,0.3,1.6771909415721893,1.6789152383804322,-0.001724296808242931
1000000000000000.0,0.2M,205504,0.4,1.6401796162128448,1.652781718969345,-0.0126021027565002
1000000000000000.0,0.4M,393360,0.3,1.6128121376037599,1.610988736152649,0.0018234014511109287
1000000000000000.0,0.8M,781920,0.2,1.6236506521701812,1.6329443037509919,-0.009293651580810636
1000000000000000.0,1.6M,1591680,0.5,1.72838134765625,1.6438788950443268,0.08450245261192313
