model,size,n_embd,n_layer,lr,final_train_ce,final_val_ce,final_gpt2_ce,runtime_s,status
ar,0.1M,64,2,0.01,1.4747182130813599,1.6672873497009277,,151.6542854309082,ok
ar,0.3M,96,3,0.01,1.2246006727218628,1.4871621131896973,,235.08706045150757,ok
ar,1M,128,5,0.01,1.0263179540634155,1.4485809803009033,,334.01344108581543,ok
ar,3M,256,4,0.003,0.6794846057891846,1.6976312398910522,,313.34406089782715,ok
edit_one_pass,0.1M,64,2,0.01,2.487098217010498,2.4862306118011475,,289.63750290870667,ok
edit_one_pass,0.3M,96,3,0.01,2.165815830230713,2.208635091781616,,365.8731005191803,ok
edit_one_pass,1M,128,5,0.01,1.976069688796997,2.087481737136841,,540.7215192317963,ok
edit_one_pass,3M,256,4,0.003,1.7536929845809937,1.9186543226242065,,602.3861835002899,ok
edit_two_pass,0.1M,64,2,0.01,2.4041643142700195,2.416440486907959,,590.4214165210724,ok
edit_two_pass,0.3M,96,3,0.003,2.061824321746826,2.1447319984436035,,646.6429975032806,ok
edit_two_pass,1M,128,5,0.003,1.8306881189346313,1.9726037979125977,,696.1831111907959,ok
edit_two_pass,3M,256,4,0.003,1.6725353002548218,1.8557090759277344,,710.9028887748718,ok
mdlm,0.1M,64,2,0.01,2.403230667114258,2.4197232723236084,,291.5933771133423,ok
mdlm,0.3M,96,3,0.003,2.032055616378784,2.115165948867798,,372.8173072338104,ok
mdlm,1M,128,5,0.003,1.8337243795394897,1.9776179790496826,,537.9843187332153,ok
mdlm,3M,256,4,0.003,1.7133831977844238,1.8726143836975098,,607.727267742157,ok
remasked,0.1M,64,2,0.01,2.3889191150665283,2.4071784019470215,,273.90502309799194,ok
remasked,0.3M,96,3,0.003,2.0306150913238525,2.11704421043396,,359.7205092906952,ok
remasked,1M,128,5,0.003,1.8389086723327637,1.976147174835205,,527.8332722187042,ok
remasked,3M,256,4,0.003,1.7130314111709595,1.8793388605117798,,599.936998128891,ok
