model,size,n_embd,n_layer,lr,dropout,final_train_ce,final_val_ce,final_gpt2_ce,runtime_s,status
ar,0.1M,64,2,0.01,0.2,1.5908308029174805,1.7655316591262817,,94.604332447052,ok
ar,0.3M,96,3,0.01,0.2,1.3159728050231934,1.5397700071334839,,138.47201776504517,ok
ar,1M,128,5,0.01,0.2,1.136751651763916,1.4432300329208374,,199.0399193763733,ok
ar,3M,256,4,0.003,0.2,0.9189159870147705,1.4929865598678589,,215.51453685760498,ok
edit_one_pass,0.1M,64,2,0.01,0.2,2.5672738552093506,2.560457468032837,,148.97419023513794,ok
edit_one_pass,0.3M,96,3,0.01,0.2,2.2683639526367188,2.2865116596221924,,183.31389617919922,ok
edit_one_pass,1M,128,5,0.01,0.2,2.0423355102539062,2.124502658843994,,256.8260042667389,ok
edit_one_pass,3M,256,4,0.003,0.2,1.8275625705718994,1.9765410423278809,,305.0873820781708,ok
edit_two_pass,0.1M,64,2,0.01,0.2,2.507071018218994,2.505709648132324,,281.5118751525879,ok
edit_two_pass,0.3M,96,3,0.003,0.2,2.1357064247131348,2.1897225379943848,,339.8739743232727,ok
edit_two_pass,1M,128,5,0.003,0.2,1.8972022533416748,2.0255379676818848,,393.2791314125061,ok
edit_two_pass,3M,256,4,0.003,0.2,1.747190237045288,1.9060759544372559,,382.9603338241577,ok
mdlm,0.1M,64,2,0.01,0.2,2.581521511077881,2.5749270915985107,,159.11816549301147,ok
mdlm,0.3M,96,3,0.003,0.2,2.163463830947876,2.21419620513916,,207.1195981502533,ok
mdlm,1M,128,5,0.003,0.2,1.9191950559616089,2.035687208175659,,314.2902591228485,ok
mdlm,3M,256,4,0.003,0.2,1.7819410562515259,1.9347001314163208,,346.61250829696655,ok
remasked,0.1M,64,2,0.01,0.2,2.593981981277466,2.5913479328155518,,155.32506799697876,ok
remasked,0.3M,96,3,0.003,0.2,2.1559665203094482,2.203176736831665,,204.16357445716858,ok
remasked,1M,128,5,0.003,0.2,1.9199215173721313,2.03680157661438,,309.278804063797,ok
remasked,3M,256,4,0.003,0.2,1.7837440967559814,1.9336901903152466,,343.9967882633209,ok
