model,size,n_embd,n_layer,lr,batch_size,final_train_ce,final_val_ce,runtime_s,status
ar,0.1M,64,2,0.0003,64,2.406891345977783,2.4058005809783936,84.67762517929077,ok
ar,0.1M,64,2,0.0003,128,2.381279468536377,2.3871684074401855,90.13930106163025,ok
ar,0.1M,64,2,0.001,64,2.1324825286865234,2.165760040283203,92.10171747207642,ok
ar,0.1M,64,2,0.001,128,2.101470470428467,2.1442790031433105,94.46411657333374,ok
ar,0.1M,64,2,0.003,64,1.8675206899642944,1.9738441705703735,91.99318814277649,ok
ar,0.1M,64,2,0.003,128,1.8308779001235962,1.9442085027694702,92.26468205451965,ok
ar,0.1M,64,2,0.01,64,1.689178466796875,1.8560917377471924,92.2334144115448,ok
ar,0.1M,64,2,0.01,128,1.6593539714813232,1.824497938156128,82.75081944465637,ok
ar,0.3M,96,3,0.0003,64,2.143782138824463,2.1667399406433105,100.8452422618866,ok
ar,0.3M,96,3,0.0003,128,2.114109992980957,2.14285945892334,117.41696119308472,ok
ar,0.3M,96,3,0.001,64,1.8216089010238647,1.9334423542022705,103.96512913703918,ok
ar,0.3M,96,3,0.001,128,1.7649927139282227,1.8991810083389282,121.79331874847412,ok
ar,0.3M,96,3,0.003,64,1.5446791648864746,1.717065453529358,103.40474128723145,ok
ar,0.3M,96,3,0.003,128,1.4961713552474976,1.686832070350647,120.17966365814209,ok
ar,0.3M,96,3,0.01,64,1.4523675441741943,1.647011399269104,105.83416867256165,ok
ar,0.3M,96,3,0.01,128,1.3888776302337646,1.6022307872772217,94.84310293197632,ok
ar,1M,128,5,0.0003,64,1.9310150146484375,1.9969730377197266,121.35451149940491,ok
ar,1M,128,5,0.0003,128,1.8824599981307983,1.965177297592163,163.21766257286072,ok
ar,1M,128,5,0.001,64,1.5885897874832153,1.7442913055419922,123.42467308044434,ok
ar,1M,128,5,0.001,128,1.5418906211853027,1.7201249599456787,163.93549990653992,ok
ar,1M,128,5,0.003,64,1.3765127658843994,1.5714585781097412,120.73240566253662,ok
ar,1M,128,5,0.003,128,1.3220388889312744,1.5360703468322754,142.56469440460205,ok
ar,1M,128,5,0.01,64,1.3412182331085205,1.5488641262054443,111.86148476600647,ok
ar,1M,128,5,0.01,128,1.2720998525619507,1.5044066905975342,108.03716588020325,ok
ar,3M,256,4,0.0003,64,1.6075547933578491,1.7819480895996094,141.27436351776123,ok
ar,3M,256,4,0.0003,128,1.5626710653305054,1.7457685470581055,191.47348165512085,ok
ar,3M,256,4,0.001,64,1.368746042251587,1.5885875225067139,135.75170493125916,ok
ar,3M,256,4,0.001,128,1.3209856748580933,1.5418447256088257,175.54241037368774,ok
ar,3M,256,4,0.003,64,1.2573440074920654,1.5157470703125,130.37683939933777,ok
ar,3M,256,4,0.003,128,1.1943690776824951,1.4693267345428467,147.56576943397522,ok
ar,3M,256,4,0.01,64,1.26726233959198,1.5158779621124268,118.66512274742126,ok
ar,3M,256,4,0.01,128,1.1807496547698975,1.4706588983535767,108.08788681030273,ok
edit_one_pass,0.1M,64,2,0.0003,64,3.311277389526367,3.348728895187378,132.78046202659607,ok
edit_one_pass,0.1M,64,2,0.0003,128,3.3066887855529785,3.351172685623169,124.68949174880981,ok
edit_one_pass,0.1M,64,2,0.001,64,3.1749606132507324,3.179314136505127,123.722727060318,ok
edit_one_pass,0.1M,64,2,0.001,128,3.143927812576294,3.148353099822998,122.64708805084229,ok
edit_one_pass,0.1M,64,2,0.003,64,3.033621072769165,3.028801679611206,112.40952467918396,ok
edit_one_pass,0.1M,64,2,0.003,128,2.9569649696350098,2.951380729675293,113.90370988845825,ok
edit_one_pass,0.1M,64,2,0.01,64,2.9309375286102295,2.9224860668182373,108.87512230873108,ok
edit_one_pass,0.1M,64,2,0.01,128,2.8747334480285645,2.8659136295318604,124.10997319221497,ok
edit_one_pass,0.3M,96,3,0.0003,64,3.3116676807403564,3.3507511615753174,144.38538718223572,ok
edit_one_pass,0.3M,96,3,0.0003,128,3.3098464012145996,3.346825122833252,145.01866960525513,ok
edit_one_pass,0.3M,96,3,0.001,64,2.9609451293945312,2.9513087272644043,131.8913609981537,ok
edit_one_pass,0.3M,96,3,0.001,128,2.8631858825683594,2.843973159790039,133.9738428592682,ok
edit_one_pass,0.3M,96,3,0.003,64,2.7564430236816406,2.737151622772217,126.92358899116516,ok
edit_one_pass,0.3M,96,3,0.003,128,2.7438368797302246,2.720491886138916,138.9946825504303,ok
edit_one_pass,0.3M,96,3,0.01,64,2.649252414703369,2.6294896602630615,128.93488264083862,ok
edit_one_pass,0.3M,96,3,0.01,128,2.706369400024414,2.685123920440674,140.89608454704285,ok
edit_one_pass,1M,128,5,0.0003,64,3.258218288421631,3.3118808269500732,156.52238059043884,ok
edit_one_pass,1M,128,5,0.0003,128,3.08467698097229,3.0825867652893066,180.0693519115448,ok
edit_one_pass,1M,128,5,0.001,64,2.6422502994537354,2.6317696571350098,148.00933456420898,ok
edit_one_pass,1M,128,5,0.001,128,2.5669314861297607,2.5450358390808105,161.71090126037598,ok
edit_one_pass,1M,128,5,0.003,64,2.553778886795044,2.549105644226074,146.19188809394836,ok
edit_one_pass,1M,128,5,0.003,128,2.464568853378296,2.447002649307251,167.2938587665558,ok
edit_one_pass,1M,128,5,0.01,64,2.521636724472046,2.5237607955932617,148.7254536151886,ok
edit_one_pass,1M,128,5,0.01,128,2.421626329421997,2.412583827972412,162.91742491722107,ok
edit_one_pass,3M,256,4,0.0003,64,2.439457893371582,2.426905870437622,167.21239829063416,ok
edit_one_pass,3M,256,4,0.0003,128,2.386219024658203,2.374904155731201,179.89098596572876,ok
edit_one_pass,3M,256,4,0.001,64,2.224400043487549,2.2371115684509277,150.5399239063263,ok
edit_one_pass,3M,256,4,0.001,128,2.154766082763672,2.184706687927246,168.82809352874756,ok
edit_one_pass,3M,256,4,0.003,64,2.213639497756958,2.2393949031829834,142.06114530563354,ok
edit_one_pass,3M,256,4,0.003,128,2.1047940254211426,2.16267728805542,176.1040141582489,ok
edit_one_pass,3M,256,4,0.01,64,2.3574891090393066,2.365011215209961,145.53218054771423,ok
edit_one_pass,3M,256,4,0.01,128,2.2901065349578857,2.309709072113037,189.0700328350067,ok
